intent,text
greeting,слушай привет :)
greeting,ну здравствуйте сейчас
greeting,ну hello :)
greeting,ну добрый день сейчас
greeting,йо сейчас
greeting,эй хай сейчас
greeting,эй приветик сейчас
greeting,слушай хай сейчас
greeting,ку!
greeting,слушай приветик сейчас
greeting,эй йо!
greeting,эй хай пожалуйста
greeting,хай?
greeting,слушай хай?
greeting,слушай привет!
greeting,ну здарова :)
greeting,ну йо :)
greeting,эй приветик пожалуйста
greeting,ну привет :)
greeting,ну здравствуйте пожалуйста
greeting,подскажи ку сейчас
greeting,подскажи хай :)
greeting,слушай приветик пожалуйста
greeting,ну добрый день?
greeting,подскажи здарова
greeting,эй добрый день сейчас
greeting,слушай здарова?
greeting,хай сейчас
greeting,ну йо
greeting,слушай здравствуйте?
greeting,ну здарова!
greeting,эй салют!
greeting,эй здравствуйте!
greeting,ну hello?
greeting,подскажи hello пожалуйста
greeting,подскажи хай!
greeting,ну приветик сейчас
greeting,ну приветик пожалуйста
greeting,подскажи ку?
greeting,слушай hello :)
greeting,подскажи салют :)
greeting,слушай йо сейчас
greeting,йо?
greeting,эй здарова сейчас
greeting,эй добрый день пожалуйста
greeting,йо :)
greeting,подскажи добрый день пожалуйста
greeting,слушай ку
greeting,ку сейчас
greeting,слушай салют?
greeting,эй йо пожалуйста
greeting,ну привет :)
greeting,слушай ку
greeting,эй здравствуйте
greeting,приветик :)
greeting,ну йо пожалуйста
greeting,эй йо
greeting,слушай здарова!
greeting,здарова пожалуйста
greeting,эй ку сейчас
greeting,подскажи здарова!
greeting,подскажи ку :)
greeting,слушай добрый день
greeting,слушай ку?
greeting,слушай ку сейчас
greeting,хай!
greeting,ну ку!
greeting,слушай здравствуйте :)
greeting,эй здарова?
greeting,подскажи добрый день
greeting,хай :)
greeting,эй привет!
greeting,эй здарова :)
greeting,салют?
greeting,слушай йо
greeting,эй йо :)
greeting,слушай салют :)
greeting,салют сейчас
greeting,привет :)
greeting,эй привет?
greeting,слушай привет
greeting,ну приветик пожалуйста
greeting,подскажи йо
greeting,подскажи здарова
greeting,слушай приветик?
greeting,эй добрый день
greeting,подскажи ку?
greeting,ну ку?
greeting,ну салют сейчас
greeting,приветик
greeting,привет!
greeting,ну здарова?
greeting,подскажи здравствуйте пожалуйста
greeting,подскажи хай?
greeting,подскажи хай сейчас
greeting,эй салют :)
greeting,ну хай!
greeting,ну здарова :)
greeting,слушай ку
greeting,здравствуйте
greeting,ну хай :)
greeting,хай сейчас
greeting,хай!
greeting,hello!
greeting,эй привет?
greeting,слушай йо!
greeting,здарова!
greeting,эй здравствуйте?
greeting,ну ку
greeting,подскажи здравствуйте :)
greeting,ну добрый день сейчас
greeting,подскажи салют?
greeting,ну салют!
greeting,салют?
greeting,эй здарова!
greeting,подскажи привет?
greeting,подскажи приветик сейчас
greeting,здарова :)
greeting,слушай салют?
greeting,подскажи hello пожалуйста
greeting,эй йо сейчас
greeting,эй добрый день пожалуйста
greeting,ну hello :)
greeting,слушай здарова!
greeting,подскажи салют!
greeting,приветик
greeting,ну хай :)
greeting,слушай hello пожалуйста
greeting,слушай здарова
greeting,подскажи йо пожалуйста
greeting,подскажи салют :)
greeting,эй ку сейчас
greeting,подскажи здравствуйте пожалуйста
greeting,эй хай!
greeting,ну hello
greeting,ну hello :)
greeting,ну привет!
