intent,text
greeting,эй привет
greeting,эй здравствуйте пожалуйста
greeting,привет?
greeting,слушай хай?
greeting,эй добрый день :)
greeting,ну добрый день :)
greeting,ну хай
greeting,привет
greeting,слушай здравствуйте
greeting,ну добрый день!
greeting,слушай привет пожалуйста
greeting,здравствуйте :)
greeting,привет?
greeting,эй хай :)
greeting,добрый день :)
greeting,ну добрый день пожалуйста
greeting,добрый день!
greeting,ну добрый день?
greeting,слушай хай :)
greeting,добрый день?
greeting,слушай хай?
greeting,ну добрый день?
greeting,эй добрый день :)
greeting,слушай привет?
greeting,эй привет!
greeting,ну здравствуйте?
greeting,эй добрый день :)
greeting,ну хай
greeting,привет :)
greeting,слушай хай :)
greeting,привет!
greeting,слушай здравствуйте пожалуйста
greeting,хай :)
greeting,эй добрый день!
greeting,эй привет
greeting,слушай добрый день :)
greeting,ну здравствуйте пожалуйста
greeting,слушай привет?
greeting,слушай хай?
greeting,добрый день :)
greeting,ну здравствуйте!
greeting,ну здравствуйте!
greeting,слушай здравствуйте
greeting,слушай привет :)
greeting,эй добрый день
greeting,ну добрый день :)
greeting,привет пожалуйста
greeting,ну здравствуйте!
greeting,привет!
greeting,ну добрый день
greeting,эй хай :)
greeting,эй привет!
greeting,здравствуйте
greeting,привет :)
greeting,ну привет!
greeting,хай :)
greeting,слушай добрый день :)
greeting,ну добрый день пожалуйста
greeting,хай
greeting,слушай привет?
greeting,эй здравствуйте!
greeting,слушай привет пожалуйста
greeting,эй здравствуйте
greeting,ну хай?
greeting,слушай добрый день?
greeting,эй добрый день :)
greeting,здравствуйте пожалуйста
greeting,эй привет :)
greeting,ну здравствуйте пожалуйста
greeting,привет
greeting,эй добрый день пожалуйста
greeting,эй привет :)
greeting,ну хай
greeting,слушай здравствуйте :)
greeting,слушай хай пожалуйста
greeting,здравствуйте
greeting,здравствуйте!
greeting,ну привет
greeting,эй добрый день :)
greeting,ну хай
greeting,эй добрый день
greeting,слушай привет!
greeting,здравствуйте?
greeting,ну здравствуйте пожалуйста
greeting,эй хай!
greeting,слушай хай :)
greeting,слушай здравствуйте
greeting,привет?
greeting,слушай привет пожалуйста
greeting,хай :)
greeting,ну хай!
greeting,слушай привет пожалуйста
greeting,слушай хай :)
greeting,здравствуйте :)
greeting,добрый день :)
greeting,эй привет пожалуйста
greeting,ну добрый день?
greeting,слушай хай
greeting,слушай здравствуйте!
greeting,слушай привет пожалуйста
