intent,text
greeting,привет
greeting,привет!
greeting,привет :)
greeting,приветик
greeting,прив
greeting,хай
greeting,хай!
greeting,hello
greeting,hi
greeting,здравствуй
greeting,здравствуйте
greeting,добрый день
greeting,добрый вечер
greeting,доброе утро
greeting,доброго времени суток
greeting,ку
greeting,йо
greeting,салют
greeting,здорово
greeting,здарова
greeting,дарова
greeting,приветствую
greeting,рад тебя видеть
greeting,привет бот
greeting,здравствуй бот
greeting,хеллоу
greeting,хелло
greeting,хай бот
greeting,ку-ку
greeting,привет-привет
greeting,день добрый
greeting,утро доброе
greeting,вечер добрый
greeting,доброго дня
greeting,здравия желаю
greeting,приветствую тебя
greeting,хай-хай
greeting,hello there
greeting,hi there
greeting,yo
greeting,yo!
greeting,sup
greeting,what's up
greeting,как дела
greeting,как ты
greeting,привет как дела
greeting,здорово как ты
greeting,рад встрече
greeting,с возвращением
greeting,давно не виделись
greeting,привет снова
greeting,снова привет
greeting,привет друг
greeting,здравствуй друг
greeting,хай дружище
greeting,йо бро
greeting,йо брат
greeting,йо чувак
greeting,привет всем
greeting,здравствуйте всем
greeting,добрый денек
greeting,доброго утра
greeting,приятного дня
greeting,добрый вечер вам
greeting,приветики
greeting,хеллоушки
greeting,хайчик
greeting,здаров
greeting,здоровеньки
greeting,доброго
greeting,приветствую вас
greeting,здравствуйте вам
greeting,приветствую бот
greeting,хай система
greeting,привет система
greeting,здравствуй система
greeting,hello bot
greeting,hi bot
greeting,hey
greeting,hey!
greeting,hey there
greeting,приветик :)
greeting,привет :)
greeting,здравствуйте :)
greeting,добрый день :)
greeting,хай :)
greeting,ку :)
greeting,йо :)
farewell,пока
farewell,пока!
farewell,покеда
farewell,покеда!
farewell,до свидания
farewell,до встречи
farewell,увидимся
farewell,увидимся позже
farewell,до скорого
farewell,до скорого!
farewell,всего хорошего
farewell,всего доброго
farewell,счастливо
farewell,бай
farewell,бай!
farewell,bye
farewell,bye!
farewell,адьос
farewell,прощай
farewell,прощайте
farewell,до завтра
farewell,до вечера
farewell,спокойной ночи
farewell,доброй ночи
farewell,до связи
farewell,ну пока
farewell,ладно пока
farewell,мне пора
farewell,я пошел
farewell,я пошёл
farewell,до новых встреч
farewell,всего
farewell,удачи
farewell,удачи тебе
farewell,успехов
farewell,береги себя
farewell,пока-пока
farewell,бай-бай
farewell,увидимся скоро
farewell,до скорого времени
farewell,до свид
farewell,всего наилучшего
farewell,прощаюсь
farewell,до потом
farewell,до скорого свидания
farewell,пока друг
farewell,пока всем
farewell,до встречи снова
farewell,ещё увидимся
farewell,до связи!
farewell,я офф
farewell,я выхожу
farewell,выход
farewell,завершаю
farewell,конец
farewell,до завтра!
farewell,до вечера!
farewell,спокойной ночи!
farewell,доброй ночи!
farewell,пока :)
farewell,бай :)
farewell,до встречи :)
farewell,увидимся :)
farewell,счастливо :)
farewell,всего хорошего :)
farewell,до скорого :)
farewell,bye :)
farewell,goodbye
farewell,goodbye!
farewell,see you
farewell,see you later
farewell,see ya
farewell,see ya!
farewell,take care
farewell,take care!
farewell,bye bye
farewell,bye-bye
farewell,ciao
farewell,ciao!
farewell,адьос :)
